filename,label
wjufizlyvw_240_0.png,1
hgakqixokz_230_0.png,1
hmtsucvrdz_80_0.png,1
wzyzadkbdr_110_0.png,1
id31_id17_0003_20_0.png,1
grdtnaccqb_260_0.png,0
nfdiyfdxum_250_0.png,1
yosayeiizv_180_0.png,1
njgrwwkkzd_280_0.png,1
hptnztntml_0_0.png,1
jgbpkhafrm_100_0.png,1
deepfake_406_391_150_0.png,1
bahdpoesir_190_0.png,1
gskthuripr_190_0.png,0
ocehsmeiqc_250_0.png,1
bjddsnsuqc_100_0.png,0
zqzildamfi_110_0.png,0
kdarkzfezn_100_0.png,1
sicuzairzx_190_0.png,1
dgtltvrqzw_200_0.png,0
qnpsikebde_10_0.png,0
uwagdhnadr_50_0.png,0
bhpcqftpdm_290_0.png,1
hcisqnohby_290_0.png,1
wfrjwfmkkv_110_0.png,1
hxdwnxdlfn_210_0.png,1
msbnbuvcby_270_0.png,0
nxglbjayqa_40_0.png,1
ljocuosozu_40_0.png,1
edyncaijwx_120_1.png,0
lkyfwfpjjz_170_0.png,1
lqltokcvsn_190_0.png,1
ohnnmhkmhz_100_0.png,1
uodxluqnyz_120_0.png,1
id23_id9_0008_120_0.png,1
nmcopoqyxm_80_0.png,1
id23_id1_0002_40_0.png,1
zzipszjtvm_10_0.png,1
tltbfeoyze_170_0.png,1
rtlrmdoijk_130_0.png,1
vxofqfrzrm_140_0.png,1
zejvtwddac_110_0.png,1
id17_id21_0000_210_0.png,1
wcmdngxlzi_100_0.png,1
uhzicmklxi_120_0.png,0
uzfcvoouwv_240_0.png,0
togegmxget_240_0.png,1
qpdcbftcff_60_0.png,1
pvvwgaqwef_90_0.png,1
howwlhmavm_260_0.png,1
jwkkkrsjvg_210_0.png,1
xdqcctacmz_60_0.png,1
zxijjupjvf_160_0.png,1
tmavjzbemi_50_0.png,1
lmegljdeop_100_0.png,0
btbepogvyl_0_0.png,1
gywgtlnovu_120_0.png,1
mqlnujfnqh_30_0.png,1
dmlivhmsng_180_0.png,1
uymmcdurdl_10_0.png,1
imvcyiurwe_20_0.png,1
lfhcacjvtk_130_0.png,1
icdiczmfqs_70_0.png,0
vjyieaccgn_50_0.png,1
id31_id1_0005_320_0.png,1
kwvaoojpkj_0_0.png,1
aqxjysinmy_180_0.png,1
ndzhjoguky_200_0.png,1
xmnzschkfx_180_0.png,1
kakipwemfn_70_0.png,1
xigerhttnn_220_0.png,1
aqpnvjhuzw_290_0.png,1
fjnhqjvhwm_80_0.png,1
rbpzgvmdrj_180_0.png,1
thtlpwgswn_130_0.png,1
wqejmmrdlc_40_0.png,1
wjuuqzqnbb_250_1.png,0
